industry,founded_year,city,no_of_founders,funding_stage,previous_funding_amount,investment_type,market_size_category,target_funding_category,startup_age
Saas,2008,Mumbai,4,Series B,13.55,Angel,Large,Large,16
Ai,2019,Delhi,4,Seed,10.09,Angel,Large,Large,5
Edtech,2020,Hyderabad,4,Seed,7.92,Angel,Medium,Medium,4
Ai,2018,Hyderabad,4,Seed,11.7,Vc,Medium,Medium,6
Ai,2021,Delhi,2,Series A,10.63,Vc,Small,Large,3
Healthtech,2018,Chennai,3,Seed,7.15,Vc,Medium,Medium,6
Edtech,2009,Pune,1,Seed,9.97,Vc,Large,Large,15
Edtech,2021,Delhi,4,Seed,7.43,Pe,Small,Medium,3
Edtech,2023,Hyderabad,3,Series A,13.23,Vc,Medium,Large,1
Ai,2013,Hyderabad,3,Series B,16.73,Angel,Medium,Large,11
Saas,2010,Bangalore,3,Series A,15.78,Angel,Small,Large,14
Edtech,2015,Mumbai,3,Series A,6.95,Angel,Large,Large,9
E-Commerce,2012,Bangalore,2,Series A,10.29,Pe,Medium,Large,12
Ai,2010,Chennai,3,Series A,0.41,Vc,Large,Small,14
Healthtech,2019,Mumbai,2,Series A,17.43,Pe,Small,Large,5
Saas,2017,Delhi,2,Seed,5.06,Pe,Large,Medium,7
E-Commerce,2014,Delhi,4,Seed,8.93,Pe,Large,Large,10
E-Commerce,2021,Chennai,1,Series A,3.22,Angel,Small,Small,3
Healthtech,2015,Pune,1,Seed,13.63,Pe,Large,Large,9
Saas,2011,Hyderabad,3,Seed,11.0,Pe,Medium,Medium,13
Ai,2020,Pune,3,Series A,7.42,Angel,Large,Large,4
Fintech,2020,Delhi,1,Series A,10.8,Angel,Small,Large,4
Saas,2018,Bangalore,1,Series A,3.54,Angel,Small,Small,6
Healthtech,2016,Hyderabad,2,Seed,15.56,Pe,Large,Large,8
E-Commerce,2013,Delhi,3,Seed,5.47,Angel,Large,Medium,11
Ai,2021,Hyderabad,1,Seed,12.38,Vc,Small,Medium,3
Saas,2008,Pune,1,Seed,18.01,Pe,Small,Large,16
Fintech,2012,Mumbai,2,Seed,0.96,Vc,Medium,Small,12
Fintech,2012,Delhi,4,Seed,7.87,Angel,Medium,Medium,12
Edtech,2014,Delhi,2,Seed,2.87,Vc,Medium,Small,10
Edtech,2014,Hyderabad,1,Seed,18.19,Vc,Medium,Large,10
Healthtech,2013,Mumbai,3,Seed,7.33,Angel,Medium,Medium,11
Saas,2022,Bangalore,4,Series A,4.42,Angel,Medium,Medium,2
Saas,2022,Mumbai,2,Series A,13.59,Pe,Large,Large,2
E-Commerce,2015,Bangalore,4,Seed,10.96,Vc,Medium,Medium,9
