industry,founded_year,city,no_of_founders,funding_stage,previous_funding_amount,investment_type,market_size_category,target_funding_category,startup_age,founder_strength,funding_momentum,startup_maturity,funding_intensity,strong_team_flag
Saas,2008,Mumbai,4,Series B,13.55,Angel,Large,Large,16,40,0.7970588235294118,Mature,216.8,Yes
Ai,2019,Delhi,4,Seed,10.09,Angel,Large,Large,5,40,1.6816666666666666,Growth,50.45,Yes
Edtech,2020,Hyderabad,4,Seed,7.92,Angel,Medium,Medium,4,40,1.584,Growth,31.68,Yes
Ai,2018,Hyderabad,4,Seed,11.7,Vc,Medium,Medium,6,40,1.6714285714285713,Growth,70.19999999999999,Yes
Ai,2021,Delhi,2,Series A,10.63,Vc,Small,Large,3,20,2.6575,Early,31.89,No
Healthtech,2018,Chennai,3,Seed,7.15,Vc,Medium,Medium,6,30,1.0214285714285716,Growth,42.900000000000006,Yes
Edtech,2009,Pune,1,Seed,9.97,Vc,Large,Large,15,10,0.623125,Mature,149.55,No
Edtech,2021,Delhi,4,Seed,7.43,Pe,Small,Medium,3,40,1.8575,Early,22.29,Yes
Edtech,2023,Hyderabad,3,Series A,13.23,Vc,Medium,Large,1,30,6.615,Early,13.23,Yes
Ai,2013,Hyderabad,3,Series B,16.73,Angel,Medium,Large,11,30,1.3941666666666668,Mature,184.03,Yes
Saas,2010,Bangalore,3,Series A,15.78,Angel,Small,Large,14,30,1.052,Mature,220.92,Yes
Edtech,2015,Mumbai,3,Series A,6.95,Angel,Large,Large,9,30,0.6950000000000001,Mature,62.550000000000004,Yes
E-Commerce,2012,Bangalore,2,Series A,10.29,Pe,Medium,Large,12,20,0.7915384615384615,Mature,123.47999999999999,No
Ai,2010,Chennai,3,Series A,0.41,Vc,Large,Small,14,30,0.02733333333333333,Mature,5.739999999999999,Yes
Healthtech,2019,Mumbai,2,Series A,17.43,Pe,Small,Large,5,20,2.905,Growth,87.15,No
Saas,2017,Delhi,2,Seed,5.06,Pe,Large,Medium,7,20,0.6325,Growth,35.419999999999995,No
E-Commerce,2014,Delhi,4,Seed,8.93,Pe,Large,Large,10,40,0.8118181818181818,Mature,89.3,Yes
E-Commerce,2021,Chennai,1,Series A,3.22,Angel,Small,Small,3,10,0.805,Early,9.66,No
Healthtech,2015,Pune,1,Seed,13.63,Pe,Large,Large,9,10,1.363,Mature,122.67,No
Saas,2011,Hyderabad,3,Seed,11.0,Pe,Medium,Medium,13,30,0.7857142857142857,Mature,143.0,Yes
Ai,2020,Pune,3,Series A,7.42,Angel,Large,Large,4,30,1.484,Growth,29.68,Yes
Fintech,2020,Delhi,1,Series A,10.8,Angel,Small,Large,4,10,2.16,Growth,43.2,No
Saas,2018,Bangalore,1,Series A,3.54,Angel,Small,Small,6,10,0.5057142857142857,Growth,21.240000000000002,No
Healthtech,2016,Hyderabad,2,Seed,15.56,Pe,Large,Large,8,20,1.728888888888889,Mature,124.48,No
E-Commerce,2013,Delhi,3,Seed,5.47,Angel,Large,Medium,11,30,0.4558333333333333,Mature,60.169999999999995,Yes
Ai,2021,Hyderabad,1,Seed,12.38,Vc,Small,Medium,3,10,3.095,Early,37.14,No
Saas,2008,Pune,1,Seed,18.01,Pe,Small,Large,16,10,1.0594117647058825,Mature,288.16,No
Fintech,2012,Mumbai,2,Seed,0.96,Vc,Medium,Small,12,20,0.07384615384615384,Mature,11.52,No
Fintech,2012,Delhi,4,Seed,7.87,Angel,Medium,Medium,12,40,0.6053846153846154,Mature,94.44,Yes
Edtech,2014,Delhi,2,Seed,2.87,Vc,Medium,Small,10,20,0.2609090909090909,Mature,28.700000000000003,No
Edtech,2014,Hyderabad,1,Seed,18.19,Vc,Medium,Large,10,10,1.6536363636363638,Mature,181.9,No
Healthtech,2013,Mumbai,3,Seed,7.33,Angel,Medium,Medium,11,30,0.6108333333333333,Mature,80.63,Yes
Saas,2022,Bangalore,4,Series A,4.42,Angel,Medium,Medium,2,40,1.4733333333333334,Early,8.84,Yes
Saas,2022,Mumbai,2,Series A,13.59,Pe,Large,Large,2,20,4.53,Early,27.18,No
E-Commerce,2015,Bangalore,4,Seed,10.96,Vc,Medium,Medium,9,40,1.096,Mature,98.64000000000001,Yes
E-Commerce,2009,Chennai,4,Series A,16.38,Angel,Medium,Large,15,40,1.02375,Mature,245.7,Yes
E-Commerce,2021,Pune,2,Seed,15.11,Angel,Small,Medium,3,20,3.7775,Early,45.33,No
Edtech,2020,Mumbai,3,Series B,19.5,Angel,Small,Large,4,30,3.9,Growth,78.0,Yes
Saas,2023,Bangalore,1,Seed,1.99,Pe,Small,Small,1,10,0.995,Early,1.99,No
Saas,2020,Hyderabad,1,Series A,1.79,Pe,Small,Small,4,10,0.358,Growth,7.16,No
Fintech,2014,Bangalore,3,Seed,18.17,Angel,Medium,Large,10,30,1.651818181818182,Mature,181.70000000000002,Yes
Edtech,2017,Chennai,4,Series B,19.12,Vc,Medium,Large,7,40,2.39,Growth,133.84,Yes
Ai,2022,Bangalore,3,Series A,8.25,Angel,Small,Medium,2,30,2.75,Early,16.5,Yes
Edtech,2014,Pune,4,Seed,9.23,Pe,Medium,Medium,10,40,0.8390909090909091,Mature,92.30000000000001,Yes
Ai,2011,Mumbai,2,Seed,7.5,Angel,Small,Medium,13,20,0.5357142857142857,Mature,97.5,No
Fintech,2019,Bangalore,4,Seed,15.6,Vc,Large,Large,5,40,2.6,Growth,78.0,Yes
Healthtech,2017,Mumbai,1,Seed,15.46,Vc,Large,Large,7,10,1.9325,Growth,108.22,No
Saas,2009,Chennai,1,Seed,4.56,Pe,Large,Medium,15,10,0.285,Mature,68.39999999999999,No
Fintech,2011,Bangalore,4,Seed,7.8,Vc,Small,Medium,13,40,0.5571428571428572,Mature,101.39999999999999,Yes
Saas,2011,Bangalore,1,Seed,4.41,Angel,Large,Medium,13,10,0.315,Mature,57.33,No
E-Commerce,2019,Chennai,3,Seed,1.12,Angel,Small,Small,5,30,0.18666666666666668,Growth,5.6000000000000005,Yes
Healthtech,2019,Pune,4,Series A,1.31,Angel,Small,Small,5,40,0.21833333333333335,Growth,6.550000000000001,Yes
Healthtech,2013,Bangalore,3,Seed,3.11,Angel,Medium,Small,11,30,0.25916666666666666,Mature,34.21,Yes
Fintech,2021,Mumbai,1,Seed,0.79,Pe,Small,Small,3,10,0.1975,Early,2.37,No
Healthtech,2014,Pune,3,Series A,8.58,Vc,Large,Large,10,30,0.78,Mature,85.8,Yes
Ai,2010,Delhi,4,Seed,1.47,Vc,Large,Small,14,40,0.098,Mature,20.58,Yes
Healthtech,2022,Pune,3,Seed,16.98,Vc,Large,Large,2,30,5.66,Early,33.96,Yes
Saas,2017,Delhi,3,Series A,14.3,Angel,Small,Large,7,30,1.7875,Growth,100.10000000000001,Yes
Saas,2008,Mumbai,1,Seed,15.72,Angel,Medium,Large,16,10,0.9247058823529413,Mature,251.52,No
Saas,2010,Bangalore,1,Seed,12.43,Angel,Medium,Large,14,10,0.8286666666666667,Mature,174.01999999999998,No
Saas,2016,Mumbai,4,Series A,13.34,Angel,Medium,Large,8,40,1.482222222222222,Mature,106.72,Yes
Ai,2008,Chennai,4,Series B,2.45,Angel,Large,Medium,16,40,0.14411764705882354,Mature,39.2,Yes
Edtech,2020,Mumbai,1,Series A,1.35,Vc,Small,Small,4,10,0.27,Growth,5.4,No
E-Commerce,2015,Delhi,2,Seed,19.79,Vc,Medium,Large,9,20,1.9789999999999999,Mature,178.10999999999999,No
Fintech,2009,Pune,1,Seed,7.58,Angel,Small,Medium,15,10,0.47375,Mature,113.7,No
Saas,2013,Hyderabad,2,Series A,1.22,Vc,Medium,Small,11,20,0.10166666666666667,Mature,13.42,No
Healthtech,2010,Chennai,3,Series B,3.36,Angel,Medium,Medium,14,30,0.224,Mature,47.04,Yes
Saas,2014,Bangalore,4,Seed,17.51,Vc,Medium,Large,10,40,1.591818181818182,Mature,175.10000000000002,Yes
Healthtech,2009,Pune,3,Series B,4.27,Pe,Small,Medium,15,30,0.266875,Mature,64.05,Yes
E-Commerce,2011,Mumbai,3,Series A,9.45,Vc,Medium,Large,13,30,0.6749999999999999,Mature,122.85,Yes
E-Commerce,2017,Chennai,1,Series B,13.42,Angel,Small,Large,7,10,1.6775,Growth,93.94,No
E-Commerce,2016,Delhi,4,Seed,19.32,Pe,Medium,Large,8,40,2.1466666666666665,Mature,154.56,Yes
Healthtech,2013,Bangalore,2,Seed,0.48,Angel,Small,Small,11,20,0.04,Mature,5.279999999999999,No
Saas,2011,Mumbai,1,Seed,9.85,Vc,Large,Large,13,10,0.7035714285714285,Mature,128.04999999999998,No
E-Commerce,2009,Pune,1,Series A,19.92,Pe,Medium,Large,15,10,1.245,Mature,298.8,No
Ai,2017,Mumbai,3,Series A,2.61,Pe,Medium,Small,7,30,0.32625,Growth,18.27,Yes
Healthtech,2021,Bangalore,2,Series B,2.65,Angel,Small,Small,3,20,0.6625,Early,7.949999999999999,No
